snapshot_index,start_time,end_time,edges_scored,attack_edges_scored,benign_edges_scored,mean_score,max_score,min_score,mean_attack_score,mean_benign_score,auc,pr_auc
68,2017-07-07 02:35:00,2017-07-07 02:39:00,910,0,910,2.7267037294395675,628.041015625,0.43540677428245544,0.0,2.7267037294395675,NA,NA
69,2017-07-07 02:40:00,2017-07-07 02:44:00,643,0,643,2.7766863110462205,394.40692138671875,0.43459993600845337,0.0,2.7766863110462205,NA,NA
70,2017-07-07 02:45:00,2017-07-07 02:49:00,704,0,704,3.421316867821257,580.157958984375,0.43480628728866577,0.0,3.421316867821257,NA,NA
71,2017-07-07 02:50:00,2017-07-07 02:54:00,756,1,755,122.61954951952532,89998.171875,0.4350045323371887,89998.171875,3.579082863259789,1.0,1.0
72,2017-07-07 02:55:00,2017-07-07 02:59:00,1038,1,1037,45.27469319596111,43914.35546875,0.4387208819389343,43914.35546875,2.9708544538646446,0.9999999999999999,1.0
73,2017-07-07 03:00:00,2017-07-07 03:04:00,703,1,702,2.5488269616072072,452.56805419921875,0.43517276644706726,1.9275826215744019,2.5497119250545475,0.8632478632478632,0.010309278350515464
74,2017-07-07 03:05:00,2017-07-07 03:09:00,920,1,919,12.305633453279734,8715.4052734375,0.4356931149959564,8715.4052734375,2.835448861349135,1.0,1.0
75,2017-07-07 03:10:00,2017-07-07 03:14:00,1214,1,1213,4.926912432324749,1936.612060546875,0.43471065163612366,1936.612060546875,3.3344267372591676,1.0,1.0
76,2017-07-07 03:15:00,2017-07-07 03:19:00,802,0,802,2.609439969025645,532.63623046875,0.4445091187953949,0.0,2.609439969025645,NA,NA
77,2017-07-07 03:20:00,2017-07-07 03:24:00,944,1,943,12.315054566899347,8728.3232421875,0.434838205575943,8728.3232421875,3.0722038907375215,1.0,1.0
78,2017-07-07 03:25:00,2017-07-07 03:29:00,1017,0,1017,3.5026536250419205,726.47119140625,0.4355563521385193,0.0,3.5026536250419205,NA,NA
79,2017-07-07 03:30:00,2017-07-07 03:34:00,1073,0,1073,3.1139638065347466,718.7103271484375,0.43699607253074646,0.0,3.1139638065347466,NA,NA
80,2017-07-07 03:35:00,2017-07-07 03:39:00,726,0,726,2.780110822810943,451.477783203125,0.43500983715057373,0.0,2.780110822810943,NA,NA
81,2017-07-07 03:40:00,2017-07-07 03:44:00,606,0,606,3.129103787759743,428.8203430175781,0.43792393803596497,0.0,3.129103787759743,NA,NA
82,2017-07-07 03:45:00,2017-07-07 03:49:00,339,0,339,3.1749872944172153,279.56964111328125,0.4429125487804413,0.0,3.1749872944172153,NA,NA
83,2017-07-07 03:50:00,2017-07-07 03:54:00,382,0,382,3.8880300435252213,299.2411193847656,0.435676246881485,0.0,3.8880300435252213,NA,NA
84,2017-07-07 03:55:00,2017-07-07 03:59:00,664,1,663,46.175427060664056,23057.8828125,0.43516233563423157,23057.8828125,11.466969465732934,1.0,1.0
85,2017-07-07 04:00:00,2017-07-07 04:04:00,555,1,554,73.372348552459,32432.98046875,0.43193838000297546,32432.98046875,14.961503570152965,1.0,1.0
86,2017-07-07 04:05:00,2017-07-07 04:09:00,463,2,461,87.70649676195488,30056.283203125,0.43933606147766113,19209.12841796875,4.750219446524105,0.9999999999999999,1.0
87,2017-07-07 04:10:00,2017-07-07 04:14:00,871,1,870,49.51665172008231,30940.0703125,0.4355967044830322,30940.0703125,14.010268201944472,1.0,1.0
88,2017-07-07 04:15:00,2017-07-07 04:19:00,644,1,643,17.675422695390186,7365.45849609375,0.43603596091270447,7365.45849609375,6.2480773246306835,1.0,1.0
89,2017-07-07 04:20:00,2017-07-07 04:24:00,682,0,682,2.9034545439516695,486.4287109375,0.4280601739883423,0.0,2.9034545439516695,NA,NA
90,2017-07-07 04:25:00,2017-07-07 04:29:00,598,0,598,3.124426581887497,460.19268798828125,0.4390102028846741,0.0,3.124426581887497,NA,NA
91,2017-07-07 04:30:00,2017-07-07 04:34:00,562,0,562,2.269253976351426,264.0487060546875,0.4355925917625427,0.0,2.269253976351426,NA,NA
92,2017-07-07 04:35:00,2017-07-07 04:39:00,303,0,303,2.7931702486162533,207.2490997314453,0.43814167380332947,0.0,2.7931702486162533,NA,NA
93,2017-07-07 04:40:00,2017-07-07 04:44:00,578,0,578,3.7654552546855076,510.4356689453125,0.4386654794216156,0.0,3.7654552546855076,NA,NA
94,2017-07-07 04:45:00,2017-07-07 04:49:00,386,0,386,3.220629882704409,306.61956787109375,0.4411403238773346,0.0,3.220629882704409,NA,NA
95,2017-07-07 04:50:00,2017-07-07 04:54:00,537,0,537,3.6619909589961033,405.87774658203125,0.4385838508605957,0.0,3.6619909589961033,NA,NA
96,2017-07-07 04:55:00,2017-07-07 04:59:00,669,0,669,3.0107870741631775,444.9441223144531,0.43884968757629395,0.0,3.0107870741631775,NA,NA
97,2017-07-07 05:00:00,2017-07-07 05:02:00,355,0,355,2.549183378505035,144.56063842773438,0.4424707293510437,0.0,2.549183378505035,NA,NA
