snapshot_index,start_time,end_time,edges_scored,attack_edges_scored,benign_edges_scored,mean_score,max_score,min_score,mean_attack_score,mean_benign_score,auc,pr_auc
68,2017-07-07 02:35:00,2017-07-07 02:39:00,910,0,910,3.716545902307217,688.177490234375,0.48993566632270813,0.0,3.716545902307217,NA,NA
69,2017-07-07 02:40:00,2017-07-07 02:44:00,643,0,643,3.37601580414023,434.3285217285156,0.4728963375091553,0.0,3.37601580414023,NA,NA
70,2017-07-07 02:45:00,2017-07-07 02:49:00,704,0,704,4.680779102470049,637.9986572265625,0.48577311635017395,0.0,4.680779102470049,NA,NA
71,2017-07-07 02:50:00,2017-07-07 02:54:00,756,1,755,128.14580696631992,93044.9140625,0.5633617639541626,93044.9140625,5.077239740447493,1.0,1.0
72,2017-07-07 02:55:00,2017-07-07 02:59:00,1038,1,1037,47.740284449620056,45374.01171875,0.5383589267730713,45374.01171875,4.031247386649581,0.9999999999999999,1.0
73,2017-07-07 03:00:00,2017-07-07 03:04:00,703,1,702,3.528422192523354,499.48394775390625,0.5579478144645691,1.9983834028244019,3.5306017349588226,0.7720797720797721,0.006211180124223602
74,2017-07-07 03:05:00,2017-07-07 03:09:00,920,1,919,13.861478925528735,9021.2451171875,0.5552548766136169,9021.2451171875,4.060190962240408,1.0,1.0
75,2017-07-07 03:10:00,2017-07-07 03:14:00,1214,1,1213,6.273577579507325,2009.8380126953125,0.5341481566429138,2009.8380126953125,4.621834434317049,0.9999999999999999,1.0
76,2017-07-07 03:15:00,2017-07-07 03:19:00,802,0,802,3.4164198017551417,587.3555908203125,0.49979767203330994,0.0,3.4164198017551417,NA,NA
77,2017-07-07 03:20:00,2017-07-07 03:24:00,944,1,943,13.760040130434653,9020.3701171875,0.49318554997444153,9020.3701171875,4.209022021148263,1.0,1.0
78,2017-07-07 03:25:00,2017-07-07 03:29:00,1017,0,1017,4.692253983770969,798.8485107421875,0.47816574573516846,0.0,4.692253983770969,NA,NA
79,2017-07-07 03:30:00,2017-07-07 03:34:00,1073,0,1073,3.94008502436373,788.790771484375,0.4613279402256012,0.0,3.94008502436373,NA,NA
80,2017-07-07 03:35:00,2017-07-07 03:39:00,726,0,726,3.5653098904561076,496.0484313964844,0.47934794425964355,0.0,3.5653098904561076,NA,NA
81,2017-07-07 03:40:00,2017-07-07 03:44:00,606,0,606,4.165014083924467,475.06256103515625,0.4792129397392273,0.0,4.165014083924467,NA,NA
82,2017-07-07 03:45:00,2017-07-07 03:49:00,339,0,339,4.550606705270334,312.3868103027344,0.5368332266807556,0.0,4.550606705270334,NA,NA
83,2017-07-07 03:50:00,2017-07-07 03:54:00,382,0,382,5.946512788534164,377.0433349609375,0.6274400353431702,0.0,5.946512788534164,NA,NA
84,2017-07-07 03:55:00,2017-07-07 03:59:00,664,1,663,49.7584589580635,23851.7890625,0.5278263092041016,23851.7890625,13.857960310187275,1.0,1.0
85,2017-07-07 04:00:00,2017-07-07 04:04:00,555,1,554,77.40103189730429,33524.01171875,0.5152918696403503,33524.01171875,17.028088419230837,1.0,1.0
86,2017-07-07 04:05:00,2017-07-07 04:09:00,463,2,461,92.91222031044394,31036.064453125,0.5510141849517822,19834.95751953125,7.263433762848248,1.0,1.0
87,2017-07-07 04:10:00,2017-07-07 04:14:00,871,1,870,52.81535908774859,31939.16015625,0.5299738049507141,31939.16015625,16.16438805652761,1.0,1.0
88,2017-07-07 04:15:00,2017-07-07 04:19:00,644,1,643,19.581399897796025,7609.517578125,0.6031845808029175,7609.517578125,7.777455608173625,1.0,1.0
89,2017-07-07 04:20:00,2017-07-07 04:24:00,682,0,682,4.172817365252727,527.5447998046875,0.5994048118591309,0.0,4.172817365252727,NA,NA
90,2017-07-07 04:25:00,2017-07-07 04:29:00,598,0,598,4.105451964714057,500.6356506347656,0.5465184450149536,0.0,4.105451964714057,NA,NA
91,2017-07-07 04:30:00,2017-07-07 04:34:00,562,0,562,2.9811067088536944,287.77764892578125,0.4959910809993744,0.0,2.9811067088536944,NA,NA
92,2017-07-07 04:35:00,2017-07-07 04:39:00,303,0,303,4.274617822846957,239.44815063476562,0.5927311182022095,0.0,4.274617822846957,NA,NA
93,2017-07-07 04:40:00,2017-07-07 04:44:00,578,0,578,5.2633211639513195,557.575439453125,0.5730235576629639,0.0,5.2633211639513195,NA,NA
94,2017-07-07 04:45:00,2017-07-07 04:49:00,386,0,386,4.628843527538171,337.7548522949219,0.6342498064041138,0.0,4.628843527538171,NA,NA
95,2017-07-07 04:50:00,2017-07-07 04:54:00,537,0,537,4.9719823924078845,444.6978454589844,0.5414880514144897,0.0,4.9719823924078845,NA,NA
96,2017-07-07 04:55:00,2017-07-07 04:59:00,669,0,669,4.6078612839159945,483.712158203125,0.5719484686851501,0.0,4.6078612839159945,NA,NA
97,2017-07-07 05:00:00,2017-07-07 05:02:00,355,0,355,3.5504121746815427,160.865234375,0.5668428540229797,0.0,3.5504121746815427,NA,NA
