snapshot_index,start_time,end_time,edges_scored,attack_edges_scored,benign_edges_scored,mean_score,max_score,min_score,mean_attack_score,mean_benign_score,auc,pr_auc
68,2017-07-07 02:35:00,2017-07-07 02:39:00,910,0,910,2.7647856156249624,435.6308898925781,0.5474903583526611,0.0,2.7647856156249624,NA,NA
69,2017-07-07 02:40:00,2017-07-07 02:44:00,643,0,643,2.796198091833254,275.9488220214844,0.5551192760467529,0.0,2.796198091833254,NA,NA
70,2017-07-07 02:45:00,2017-07-07 02:49:00,704,0,704,3.4623640448870985,415.220947265625,0.5635084509849548,0.0,3.4623640448870985,NA,NA
71,2017-07-07 02:50:00,2017-07-07 02:54:00,756,1,755,115.49398126457103,84591.0234375,0.5578751564025879,84591.0234375,3.605862779490995,1.0,1.0
72,2017-07-07 02:55:00,2017-07-07 02:59:00,1038,1,1037,42.76173859541816,41266.1875,0.5482364296913147,41266.1875,3.0091583047676456,1.0,1.0
73,2017-07-07 03:00:00,2017-07-07 03:04:00,703,1,702,2.6766297476390006,332.5763854980469,0.4357605576515198,1.7198832035064697,2.6779926344540046,0.7592592592592593,0.0058823529411764705
74,2017-07-07 03:05:00,2017-07-07 03:09:00,920,1,919,11.772552890622098,8141.83935546875,0.5541210770606995,8141.83935546875,2.925907838850468,1.0,1.0
75,2017-07-07 03:10:00,2017-07-07 03:14:00,1214,1,1213,4.760310861924924,1799.5831298828125,0.5565115809440613,1799.5831298828125,3.2806547868870943,1.0,1.0
76,2017-07-07 03:15:00,2017-07-07 03:19:00,802,0,802,2.572049595842932,369.20556640625,0.5599491000175476,0.0,2.572049595842932,NA,NA
77,2017-07-07 03:20:00,2017-07-07 03:24:00,944,1,943,11.77929446871503,8124.69091796875,0.5483790636062622,8124.69091796875,3.1759947619281417,1.0,1.0
78,2017-07-07 03:25:00,2017-07-07 03:29:00,1017,0,1017,3.6255284340918474,497.86663818359375,0.5551115870475769,0.0,3.6255284340918474,NA,NA
79,2017-07-07 03:30:00,2017-07-07 03:34:00,1073,0,1073,3.1360093982888513,491.5341491699219,0.5601677298545837,0.0,3.1360093982888513,NA,NA
80,2017-07-07 03:35:00,2017-07-07 03:39:00,726,0,726,2.869237685088612,314.9402770996094,0.43263453245162964,0.0,2.869237685088612,NA,NA
81,2017-07-07 03:40:00,2017-07-07 03:44:00,606,0,606,3.1644915797726156,309.17376708984375,0.5621958374977112,0.0,3.1644915797726156,NA,NA
82,2017-07-07 03:45:00,2017-07-07 03:49:00,339,0,339,3.337274883524858,228.70449829101562,0.5388649106025696,0.0,3.337274883524858,NA,NA
83,2017-07-07 03:50:00,2017-07-07 03:54:00,382,0,382,4.1054792742766635,241.93760681152344,0.5511836409568787,0.0,4.1054792742766635,NA,NA
84,2017-07-07 03:55:00,2017-07-07 03:59:00,664,1,663,43.62017832095005,21612.32421875,0.5433472394943237,21612.32421875,11.088196359518607,1.0,1.0
85,2017-07-07 04:00:00,2017-07-07 04:04:00,555,1,554,69.35772033623746,30486.37890625,0.4485882818698883,30486.37890625,14.453349964551977,0.9999999999999999,1.0
86,2017-07-07 04:05:00,2017-07-07 04:09:00,463,2,461,82.88545841583681,28247.333984375,0.4636106491088867,18052.57421875,4.9258542495280695,1.0,1.0
87,2017-07-07 04:10:00,2017-07-07 04:14:00,871,1,870,46.846484456147174,29055.072265625,0.5449985861778259,29055.072265625,13.5036962019301,1.0,1.0
88,2017-07-07 04:15:00,2017-07-07 04:19:00,644,1,643,16.864027638705622,6899.509765625,0.5523898005485535,6899.509765625,6.160068481650731,1.0,1.0
89,2017-07-07 04:20:00,2017-07-07 04:24:00,682,0,682,2.9178283972299695,343.1444396972656,0.43287378549575806,0.0,2.9178283972299695,NA,NA
90,2017-07-07 04:25:00,2017-07-07 04:29:00,598,0,598,3.1310064233465735,332.495849609375,0.5611051917076111,0.0,3.1310064233465735,NA,NA
91,2017-07-07 04:30:00,2017-07-07 04:34:00,562,0,562,2.3561964188818405,193.48626708984375,0.5288962125778198,0.0,2.3561964188818405,NA,NA
92,2017-07-07 04:35:00,2017-07-07 04:39:00,303,0,303,2.891179827967099,158.91744995117188,0.5628960728645325,0.0,2.891179827967099,NA,NA
93,2017-07-07 04:40:00,2017-07-07 04:44:00,578,0,578,3.6820783153124745,361.75201416015625,0.5640931129455566,0.0,3.6820783153124745,NA,NA
94,2017-07-07 04:45:00,2017-07-07 04:49:00,386,0,386,3.218636450526628,234.39076232910156,0.5606846809387207,0.0,3.218636450526628,NA,NA
95,2017-07-07 04:50:00,2017-07-07 04:54:00,537,0,537,3.4289489337407897,295.7785339355469,0.5630541443824768,0.0,3.4289489337407897,NA,NA
96,2017-07-07 04:55:00,2017-07-07 04:59:00,669,0,669,2.931236508715848,318.4130554199219,0.5269231796264648,0.0,2.931236508715848,NA,NA
97,2017-07-07 05:00:00,2017-07-07 05:02:00,355,0,355,2.548967896548795,109.74905395507812,0.5595738887786865,0.0,2.548967896548795,NA,NA
